                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.69373,                0.70059,                 1.0433,                0.63453,                0.68604,                0.59776,                0.51256,                0.46224,                 89.816,                0.75084,              8.318e-05,              8.318e-05,              8.318e-05
                     62,                0.69288,                0.70001,                 1.0429,                0.69035,                0.64136,                0.61127,                0.52122,                0.47126,                 90.706,                0.75868,               8.12e-05,               8.12e-05,               8.12e-05
                     63,                0.67829,                0.69088,                 1.0439,                0.63502,                0.64108,                0.58199,                0.49824,                0.46638,                 97.045,                0.75784,              7.922e-05,              7.922e-05,              7.922e-05
                     64,                0.68688,                0.66796,                 1.0369,                0.64523,                0.65533,                0.58435,                0.50068,                0.44838,                 87.588,                0.74799,              7.724e-05,              7.724e-05,              7.724e-05
                     65,                0.67786,                0.67565,                 1.0331,                0.67739,                  0.642,                0.60125,                0.51523,                0.46488,                 94.415,                0.75572,              7.526e-05,              7.526e-05,              7.526e-05
                     66,                0.68146,                0.68484,                 1.0415,                0.66593,                0.64203,                0.59306,                0.51059,                0.45182,                 98.085,                0.75184,              7.328e-05,              7.328e-05,              7.328e-05
                     67,                0.67311,                0.66561,                 1.0304,                0.66582,                0.66645,                0.58738,                0.50566,                0.45696,                 89.993,                0.75266,               7.13e-05,               7.13e-05,               7.13e-05
                     68,                0.68241,                0.67238,                 1.0284,                0.65108,                0.66134,                0.59701,                0.51431,                0.45995,                 83.983,                0.74931,              6.932e-05,              6.932e-05,              6.932e-05
                     69,                0.65801,                0.64804,                 1.0239,                0.66764,                0.65827,                0.59532,                0.51307,                0.45766,                 90.052,                0.74871,              6.734e-05,              6.734e-05,              6.734e-05
                     70,                0.66472,                0.63537,                 1.0202,                0.62639,                0.67294,                0.58851,                0.50746,                0.45832,                 89.437,                0.74815,              6.536e-05,              6.536e-05,              6.536e-05
                     71,                0.66375,                 0.6403,                 1.0245,                0.66359,                0.66386,                0.59699,                0.51249,                0.46141,                 87.697,                0.74981,              6.338e-05,              6.338e-05,              6.338e-05
                     72,                0.66822,                0.63978,                 1.0285,                0.66829,                0.64872,                0.59656,                0.51044,                0.45555,                 87.258,                0.75105,               6.14e-05,               6.14e-05,               6.14e-05
                     73,                0.66296,                0.64123,                 1.0242,                0.65067,                0.65669,                 0.5883,                0.50313,                0.45917,                 90.448,                0.74678,              5.942e-05,              5.942e-05,              5.942e-05
                     74,                0.65844,                0.62347,                 1.0187,                0.67164,                 0.6457,                0.58716,                0.50587,                 0.4589,                 92.346,                0.75181,              5.744e-05,              5.744e-05,              5.744e-05
                     75,                0.65499,                0.62334,                 1.0206,                0.65183,                0.68924,                 0.5859,                0.50451,                0.46077,                 93.579,                0.74843,              5.546e-05,              5.546e-05,              5.546e-05
                     76,                0.66011,                0.62049,                 1.0194,                0.65921,                0.65736,                0.58638,                0.50207,                0.45729,                 92.258,                0.74721,              5.348e-05,              5.348e-05,              5.348e-05
                     77,                0.65053,                 0.6135,                 1.0189,                 0.6614,                0.66882,                 0.5876,                0.50684,                0.44567,                 96.372,                0.74355,               5.15e-05,               5.15e-05,               5.15e-05
                     78,                0.65216,                0.61674,                 1.0144,                0.64534,                0.66039,                0.58832,                0.50716,                0.45188,                 91.284,                0.74531,              4.952e-05,              4.952e-05,              4.952e-05
                     79,                0.65122,                0.60941,                 1.0202,                0.66637,                 0.6407,                  0.585,                0.50543,                0.45642,                  92.27,                 0.7449,              4.754e-05,              4.754e-05,              4.754e-05
                     80,                0.64643,                0.60128,                  1.016,                0.65505,                0.63819,                0.59429,                0.51255,                0.45365,                 93.536,                0.74578,              4.556e-05,              4.556e-05,              4.556e-05
                     81,                0.63921,                0.59216,                 1.0144,                0.66024,                0.65353,                0.58792,                0.50835,                0.45659,                 91.711,                0.74717,              4.358e-05,              4.358e-05,              4.358e-05
                     82,                0.64312,                0.59651,                 1.0096,                0.66135,                 0.6795,                0.59427,                0.51333,                0.44603,                 95.036,                0.74298,               4.16e-05,               4.16e-05,               4.16e-05
                     83,                 0.6438,                0.59322,                 1.0082,                0.59451,                0.70358,                0.58776,                0.50521,                0.45406,                 97.767,                0.74627,              3.962e-05,              3.962e-05,              3.962e-05
                     84,                 0.6337,                0.58971,                 1.0091,                0.60198,                 0.6904,                0.59748,                 0.5158,                0.45262,                 93.712,                0.74574,              3.764e-05,              3.764e-05,              3.764e-05
                     85,                0.63945,                0.57799,                 1.0117,                0.64897,                0.66037,                 0.5898,                0.50578,                0.45597,                 93.584,                0.74486,              3.566e-05,              3.566e-05,              3.566e-05
                     86,                0.63036,                 0.5829,                 1.0107,                0.65571,                0.64787,                0.58773,                0.50352,                0.45593,                  93.62,                0.74368,              3.368e-05,              3.368e-05,              3.368e-05
                     87,                0.63424,                0.58233,                  1.013,                0.64241,                0.66866,                 0.5983,                0.51546,                0.44431,                 94.525,                0.73995,               3.17e-05,               3.17e-05,               3.17e-05
